gameId,blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,redWins,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds
4213403003,1,26735,4650,46,9.2,361,71,0,10,10,19,58,11,0,0,1,0,0,1,0,1,1,0,0,26677,2702,45,9,350,84,0,10,10,15,34,15,1,0,2,1,1,0,0,0,1,1
4202671148,0,25162,3017,46,9.2,359,82,0,6,10,5,25,8,0,0,0,0,0,0,0,0,0,1,1,26708,2008,48,9.6,398,90,0,10,6,15,32,4,1,0,2,0,1,1,0,1,2,0
4202589399,0,28650,4552,48,9.6,400,65,0,14,14,12,35,12,0,0,1,0,0,1,0,1,1,0,1,28480,2245,47,9.4,363,72,0,14,14,18,26,10,1,0,1,0,1,0,0,0,0,1
4202563501,0,23158,1301,41,8.2,283,81,0,5,21,3,29,6,0,0,0,0,0,0,0,0,0,1,1,29126,1096,45,9,330,65,0,21,5,28,53,11,1,0,3,1,1,1,0,1,2,0
4202524225,0,28004,3834,48,9.6,335,79,0,12,16,10,24,7,1,0,2,1,1,0,0,0,0,0,1,30388,4853,48,9.6,370,61,0,16,12,25,33,10,0,0,3,1,1,1,0,1,2,1
4200039017,1,31452,3292,49,9.8,394,74,0,18,0,22,35,10,1,0,2,1,0,1,0,1,1,1,0,18828,1013,41,8.2,295,56,0,0,18,0,28,7,0,0,2,0,1,1,0,0,0,0
4199569741,0,33096,1321,51,10.2,358,93,0,16,8,22,70,11,0,0,1,0,0,1,0,1,2,1,1,25195,4696,46,9.2,328,65,0,8,16,13,66,12,1,0,3,1,2,0,0,0,0,0
4193169119,0,22319,3065,42,8.4,297,73,0,5,22,5,22,6,0,0,0,0,0,0,0,1,1,0,1,28970,5500,47,9.4,320,90,0,22,5,22,30,6,1,0,2,0,1,1,0,0,0,0
4193110006,1,28647,3237,49,9.8,427,97,0,12,5,16,36,9,0,0,1,1,0,0,0,1,1,1,0,23415,1695,44,8.8,357,84,0,5,12,5,25,9,1,0,1,0,0,1,0,0,1,0
4220221979,1,28586,4340,49,9.8,341,99,0,13,16,17,68,6,0,0,1,0,1,0,0,0,1,0,0,28971,3031,48,9.6,363,51,0,16,13,15,64,10,1,0,1,1,0,0,0,1,1,1
